team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,winner,time_of_day,series,player_of_match,player_of_match_team,toss,toss_decision,ground_country,winner_played_at,year
Bangladesh,Pakistan,222,226,8,5,Pakistan,Day and night,Bangladesh tour of Pakistan,Mohammad Yousuf,Pakistan,Bangladesh,bat first,Pakistan,home,2003
Pakistan,Bangladesh,302,244,5,7,Pakistan,Day and night,Bangladesh tour of Pakistan,Yasir Hameed,Pakistan,Pakistan,bat first,Pakistan,home,2003
Pakistan,South Africa,277,269,6,6,Pakistan,Day and night,South Africa tour of Pakistan,Shoaib Malik,Pakistan,Pakistan,bat first,Pakistan,home,2003
Pakistan,South Africa,267,225,7,9,Pakistan,Day and night,South Africa tour of Pakistan,Mohammad Sami,Pakistan,South Africa,field first,Pakistan,home,2003
Pakistan,South Africa,243,221,8,6,South Africa,Day,South Africa tour of Pakistan,Jacques Kallis,South Africa,Pakistan,bat first,Pakistan,away,2003
Pakistan,South Africa,157,158,10,4,South Africa,Day and night,South Africa tour of Pakistan,Andre Nel,South Africa,Pakistan,bat first,Pakistan,away,2003
Pakistan,South Africa,192,193,10,3,South Africa,Day and night,South Africa tour of Pakistan,Boeta Dippenaar,South Africa,Pakistan,bat first,Pakistan,away,2003
India,Australia,283,246,5,9,India,Day and night,TVS Cup (India),Sachin Tendulkar,India,India,bat first,India,home,2003
New Zealand,Australia,97,101,10,2,Australia,Day,TVS Cup (India),Brad Williams,Australia,New Zealand,bat first,India,away,2003
Australia,India,286,209,8,10,Australia,Day and night,TVS Cup (India),Damien Martyn,Australia,Australia,bat first,India,away,2003
New Zealand,Australia,258,259,9,8,Australia,Day,TVS Cup (India),Brad Williams,Australia,Australia,field first,India,away,2003
India,New Zealand,246,249,9,6,New Zealand,Day and night,TVS Cup (India),Scott Styris,New Zealand,India,bat first,India,away,2003
Bangladesh,England,143,144,10,3,England,Day,England tour of Bangladesh,Andrew Flintoff,England,Bangladesh,bat first,Bangladesh,away,2003
Australia,New Zealand,225,181,7,10,Australia,Day,TVS Cup (India),Michael Bevan,Australia,New Zealand,field first,India,away,2003
Bangladesh,England,134,137,9,3,England,Day and night,England tour of Bangladesh,Andrew Flintoff,England,Bangladesh,bat first,Bangladesh,away,2003
Bangladesh,England,182,185,10,3,England,Day and night,England tour of Bangladesh,Andrew Flintoff,England,Bangladesh,bat first,Bangladesh,away,2003
Australia,India,347,286,2,8,Australia,Day and night,TVS Cup (India),Adam Gilchrist,Australia,Australia,bat first,India,away,2003
India,New Zealand,353,208,5,10,India,Day and night,TVS Cup (India),Virender Sehwag,India,India,bat first,India,home,2003
England,Sri Lanka,88,89,10,0,Sri Lanka,Day and night,England tour of Sri Lanka,Chaminda Vaas,Sri Lanka,England,bat first,Sri Lanka,home,2003
Australia,India,235,198,5,10,Australia,Day and night,TVS Cup (India),Michael Clarke,Australia,Australia,bat first,India,away,2003
West Indies,Zimbabwe,347,173,6,3,West Indies,Day,West Indies tour of Zimbabwe,Chris Gayle,West Indies,West Indies,bat first,Zimbabwe,away,2003
West Indies,Zimbabwe,125,128,10,4,Zimbabwe,Day,West Indies tour of Zimbabwe,Mark Vermeulen,Zimbabwe,West Indies,bat first,Zimbabwe,home,2003
Zimbabwe,West Indies,229,208,5,10,Zimbabwe,Day,West Indies tour of Zimbabwe,Heath Streak,Zimbabwe,West Indies,field first,Zimbabwe,home,2003
West Indies,Zimbabwe,256,150,3,7,West Indies,Day,West Indies tour of Zimbabwe,Fidel Edwards,West Indies,Zimbabwe,field first,Zimbabwe,away,2003
New Zealand,Pakistan,291,292,5,7,Pakistan,Day and night,New Zealand tour of Pakistan,Abdul Razzaq,Pakistan,New Zealand,bat first,Pakistan,home,2003
Zimbabwe,West Indies,196,197,10,2,West Indies,Day,West Indies tour of Zimbabwe,Chris Gayle,West Indies,Zimbabwe,bat first,Zimbabwe,away,2003
Pakistan,New Zealand,281,157,6,10,Pakistan,Day and night,New Zealand tour of Pakistan,Mohammad Sami,Pakistan,Pakistan,bat first,Pakistan,home,2003
Pakistan,New Zealand,314,263,7,7,Pakistan,Day,New Zealand tour of Pakistan,Imran Farhat,Pakistan,Pakistan,bat first,Pakistan,home,2003
New Zealand,Pakistan,183,184,10,3,Pakistan,Day and night,New Zealand tour of Pakistan,Imran Farhat,Pakistan,New Zealand,bat first,Pakistan,home,2003
Pakistan,New Zealand,277,228,4,6,Pakistan,Day and night,New Zealand tour of Pakistan,Imran Farhat,Pakistan,Pakistan,bat first,Pakistan,home,2003
Pakistan,New Zealand,229,230,7,6,New Zealand,Day,Pakistan tour of New Zealand,Scott Styris,New Zealand,New Zealand,field first,New Zealand,home,2004
New Zealand,Pakistan,235,236,8,4,Pakistan,Day,Pakistan tour of New Zealand,Mohammad Yousuf,Pakistan,Pakistan,field first,New Zealand,away,2004
Australia,India,288,270,10,10,Australia,Day and night,VB Series,Andrew Symonds,Australia,Australia,bat first,Australia,home,2004
Pakistan,New Zealand,255,259,9,3,New Zealand,Day,Pakistan tour of New Zealand,Stephen Fleming,New Zealand,New Zealand,field first,New Zealand,home,2004
Australia,Zimbabwe,225,126,8,10,Australia,Day and night,VB Series,Brad Williams,Australia,Australia,bat first,Australia,home,2004
Pakistan,New Zealand,126,127,10,2,New Zealand,Day,Pakistan tour of New Zealand,Jacob Oram,New Zealand,New Zealand,field first,New Zealand,home,2004
Zimbabwe,India,208,211,6,3,India,Day,VB Series,Virender Sehwag,India,Zimbabwe,bat first,Australia,away,2004
Australia,Zimbabwe,344,196,7,6,Australia,Day,VB Series,Adam Gilchrist,Australia,Australia,bat first,Australia,home,2004
New Zealand,Pakistan,307,303,8,10,New Zealand,Day and night,Pakistan tour of New Zealand,Abdul Razzaq,Pakistan,New Zealand,bat first,New Zealand,home,2004
India,Australia,303,284,4,10,India,Day and night,VB Series,VVS Laxman,India,India,bat first,Australia,away,2004
India,Zimbabwe,255,231,6,10,India,Day and night,VB Series,Yuvraj Singh,India,India,bat first,Australia,away,2004
India,Australia,296,225,4,8,Australia,Day and night,VB Series,Yuvraj Singh,India,India,bat first,Australia,home,2004
India,Zimbabwe,280,277,7,6,India,Day and night,VB Series,VVS Laxman,India,India,bat first,Australia,away,2004
South Africa,West Indies,263,54,4,10,South Africa,Day and night,West Indies tour of South Africa,Jacques Kallis,South Africa,South Africa,bat first,South Africa,home,2004
Australia,Zimbabwe,279,266,7,8,Australia,Day and night,VB Series,Grant Flower,Zimbabwe,Australia,bat first,Australia,home,2004
South Africa,West Indies,179,163,7,10,South Africa,Day and night,West Indies tour of South Africa,Boeta Dippenaar,South Africa,South Africa,bat first,South Africa,home,2004
India,Australia,203,204,10,5,Australia,Day,VB Series,Adam Gilchrist,Australia,India,bat first,Australia,home,2004
South Africa,West Indies,297,300,4,3,West Indies,Day,West Indies tour of South Africa,Shivnarine Chanderpaul,West Indies,South Africa,bat first,South Africa,away,2004
Zimbabwe,India,135,136,10,6,India,Day and night,VB Series,Irfan Pathan,India,Zimbabwe,bat first,Australia,away,2004
West Indies,South Africa,304,310,2,6,South Africa,Day and night,West Indies tour of South Africa,Jacques Kallis,South Africa,West Indies,bat first,South Africa,home,2004
India,Australia,222,224,10,3,Australia,Day and night,VB Series,Ricky Ponting,Australia,India,bat first,Australia,home,2004
Australia,India,359,151,5,10,Australia,Day and night,VB Series,Matthew Hayden,Australia,Australia,bat first,Australia,home,2004
New Zealand,South Africa,225,226,8,5,South Africa,Day and night,South Africa tour of New Zealand,Graeme Smith,South Africa,South Africa,field first,New Zealand,away,2004
South Africa,New Zealand,253,255,8,5,New Zealand,Day and night,South Africa tour of New Zealand,Stephen Fleming,New Zealand,South Africa,bat first,New Zealand,home,2004
New Zealand,South Africa,254,249,5,7,New Zealand,Day and night,South Africa tour of New Zealand,Scott Styris,New Zealand,South Africa,field first,New Zealand,home,2004
Australia,Sri Lanka,262,178,6,10,Australia,Day and night,Australia tour of Sri Lanka,Brad Hogg,Australia,Australia,bat first,Sri Lanka,away,2004
Sri Lanka,Australia,245,244,10,5,Sri Lanka,Day,Australia tour of Sri Lanka,Chaminda Vaas,Sri Lanka,Sri Lanka,bat first,Sri Lanka,home,2004
South Africa,New Zealand,259,264,7,4,New Zealand,Day,South Africa tour of New Zealand,Hamish Marshall,New Zealand,New Zealand,field first,New Zealand,home,2004
Sri Lanka,Australia,226,227,8,5,Australia,Day and night,Australia tour of Sri Lanka,Jason Gillespie,Australia,Sri Lanka,bat first,Sri Lanka,away,2004
Australia,Sri Lanka,233,193,10,10,Australia,Day and night,Australia tour of Sri Lanka,Michael Kasprowicz,Australia,Australia,bat first,Sri Lanka,away,2004
New Zealand,South Africa,193,175,8,5,New Zealand,Day,South Africa tour of New Zealand,Chris Harris,New Zealand,South Africa,field first,New Zealand,home,2004
Australia,Sri Lanka,198,202,7,7,Sri Lanka,Day,Australia tour of Sri Lanka,Nuwan Zoysa,Sri Lanka,Australia,bat first,Sri Lanka,home,2004
South Africa,New Zealand,186,190,9,5,New Zealand,Day,South Africa tour of New Zealand,Michael Papps,New Zealand,South Africa,bat first,New Zealand,home,2004
Bangladesh,Zimbabwe,238,230,7,9,Bangladesh,Day,Bangladesh tour of Zimbabwe,Mohammad Ashraful,Bangladesh,Zimbabwe,field first,Zimbabwe,away,2004
Zimbabwe,Bangladesh,242,228,8,10,Zimbabwe,Day,Bangladesh tour of Zimbabwe,Heath Streak,Zimbabwe,Zimbabwe,bat first,Zimbabwe,home,2004
India,Pakistan,349,344,7,8,India,Day,India tour of Pakistan,Inzamam-ul-Haq,Pakistan,Pakistan,field first,Pakistan,away,2004
Bangladesh,Zimbabwe,183,185,10,7,Zimbabwe,Day,Bangladesh tour of Zimbabwe,Khaled Mahmud,Bangladesh,Bangladesh,bat first,Zimbabwe,home,2004
Pakistan,India,329,317,6,10,Pakistan,Day and night,India tour of Pakistan,Sachin Tendulkar,India,Pakistan,bat first,Pakistan,home,2004
India,Pakistan,244,247,9,6,Pakistan,Day,India tour of Pakistan,Yasir Hameed,Pakistan,Pakistan,field first,Pakistan,home,2004
Pakistan,India,293,294,9,5,India,Day and night,India tour of Pakistan,Inzamam-ul-Haq,Pakistan,Pakistan,bat first,Pakistan,away,2004
India,Pakistan,293,253,7,10,India,Day and night,India tour of Pakistan,VVS Laxman,India,Pakistan,field first,Pakistan,away,2004
